,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Rodney McGruder,218.0,116.0,21.5,2.2,5.4,41.2,0.9,2.6,33.6,0.5,0.8,64.3,0.9,2.2,3.1,1.3,0.2,0.5,1.6,0.7,5.9
Svi Mykhailiuk,104.0,27.0,17.3,2.2,5.6,38.8,1.5,3.9,37.7,0.7,0.9,78.4,0.3,1.2,1.5,1.4,0.0,0.6,1.1,0.8,6.6
Jahlil Okafor,223.0,114.0,20.3,4.7,8.6,53.9,0.0,0.1,22.2,1.6,2.4,67.5,1.6,3.4,5.0,1.0,0.9,0.3,2.2,1.5,10.9
Mason Plumlee,538.0,263.0,21.7,3.3,5.7,57.5,0.0,0.1,5.9,1.8,3.2,56.4,2.0,4.3,6.2,2.2,0.9,0.8,2.7,1.5,8.3
Derrick Rose,601.0,504.0,32.5,7.3,16.1,45.6,0.8,2.6,30.4,3.3,4.0,82.6,0.8,2.6,3.4,5.6,0.3,0.8,1.3,2.7,18.7
Isaiah Stewart,4.0,0.0,17.8,2.0,4.3,47.1,0.0,0.0,0.0,0.5,0.8,66.7,3.5,2.3,5.8,0.8,1.0,0.0,2.8,0.5,4.5
Delon Wright,277.0,25.0,20.0,2.6,5.9,45.0,0.6,1.8,34.5,1.4,1.7,79.2,0.8,2.3,3.1,2.9,0.4,1.0,1.2,1.0,7.3
Goga Bitadze,54.0,2.0,8.7,1.3,2.8,46.7,0.1,0.8,19.0,0.4,0.6,72.7,0.5,1.5,2.0,0.4,0.7,0.2,1.2,0.5,3.2
Malcolm Brogdon,247.0,172.0,28.9,5.2,11.0,47.3,1.4,3.5,38.8,2.0,2.3,89.4,0.7,3.1,3.8,4.4,0.2,0.9,1.9,1.7,13.8
Aaron Holiday,122.0,36.0,19.5,2.9,7.1,40.9,1.1,3.0,36.8,1.0,1.1,83.5,0.2,1.7,1.9,2.6,0.3,0.7,1.7,1.1,7.8
Justin Holiday,436.0,168.0,23.1,2.9,7.2,39.8,1.5,4.1,36.0,1.0,1.2,82.5,0.4,2.5,2.9,1.4,0.4,1.0,1.6,0.9,8.2
Jeremy Lamb,481.0,128.0,21.2,3.9,8.8,44.4,1.0,3.0,33.9,1.6,1.9,85.1,0.5,3.2,3.7,1.6,0.4,0.7,1.6,0.8,10.5
