,id,height,weight,age,position,jersey,salary,FLName,experience,Team,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Jordan Clarkson,2528426,77.0,192.0,28,PG,00,11500000.0,Jordan Clarkson,6,Utah Jazz,,459.0,140.0,26.9,5.7,12.7,44.7,1.5,4.4,34.2,1.9,2.4,81.9,0.9,2.3,3.2,2.6,0.1,0.9,1.7,1.7,14.8
Mike Conley,3195,73.0,175.0,33,PG,10,34502130.0,Mike Conley,13,Utah Jazz,,841.0,804.0,32.4,5.3,12.1,43.9,1.4,3.8,37.6,2.9,3.5,81.9,0.4,2.5,3.0,5.6,0.2,1.4,2.0,2.0,14.9
Derrick Favors,4257,82.0,265.0,29,C,15,9258000.0,Derrick Favors,10,Utah Jazz,,689.0,485.0,25.6,4.6,8.7,53.0,0.1,0.3,20.7,2.0,3.1,66.1,2.5,4.8,7.4,1.1,1.3,0.8,2.6,1.4,11.4
Trent Forrest,4065656,76.0,210.0,22,SG,3,0.0,Trent Forrest,0,Utah Jazz,B,,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,3032976,85.0,245.0,28,C,27,27525281.0,Rudy Gobert,7,Utah Jazz,,480.0,388.0,29.5,4.3,6.8,64.0,0.0,0.0,0.0,3.1,4.9,63.0,3.2,7.7,11.0,1.4,2.2,0.7,2.6,1.6,11.7
Shaquille Harrison,2991274,76.0,190.0,27,PG,8,1620564.0,Shaquille Harrison,3,Utah Jazz,,141.0,23.0,16.4,2.3,5.1,44.9,0.3,1.1,29.3,1.1,1.5,70.6,0.5,2.2,2.6,1.7,0.4,1.1,1.6,0.7,6.0
Elijah Hughes,4066446,78.0,215.0,22,SF,33,898310.0,Elijah Hughes,0,Utah Jazz,,2.0,0.0,4.5,0.0,1.5,0.0,0.0,0.5,0.0,1.5,2.0,75.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.5
Joe Ingles,2968436,80.0,226.0,33,SF,2,10863637.0,Joe Ingles,6,Utah Jazz,R,484.0,268.0,25.5,3.0,6.6,44.7,1.7,4.2,40.5,0.7,0.9,75.2,0.3,2.9,3.2,3.6,0.2,1.0,1.9,1.6,8.3
Donovan Mitchell,3908809,75.0,215.0,24,SG,45,5195501.0,Donovan Mitchell,3,Utah Jazz,,231.0,223.0,33.8,8.2,18.8,43.7,2.5,6.9,35.5,3.7,4.5,82.2,0.7,3.3,4.1,4.1,0.3,1.3,2.6,2.8,22.6
Juwan Morgan,3934721,80.0,232.0,23,SF,16,1517981.0,Juwan Morgan,1,Utah Jazz,,24.0,0.0,6.0,0.6,1.1,55.6,0.1,0.4,33.3,0.1,0.2,75.0,0.4,0.9,1.3,0.3,0.1,0.0,0.8,0.3,1.5
Georges Niang,2990969,80.0,230.0,27,SF,31,1783557.0,Georges Niang,4,Utah Jazz,,163.0,1.0,9.9,1.5,3.4,43.1,0.8,2.2,38.0,0.3,0.3,82.7,0.2,1.3,1.5,0.5,0.1,0.2,0.9,0.4,4.0
Miye Oni,4066851,77.0,206.0,23,SG,81,1517981.0,Miye Oni,1,Utah Jazz,,13.0,1.0,9.3,1.0,2.7,37.1,0.6,1.5,40.0,0.3,0.4,80.0,0.5,1.2,1.6,0.4,0.2,0.3,0.9,0.4,2.9
