,id,height,weight,age,position,jersey,salary,FLName,experience,Team,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Paul Millsap,3015,79.0,257.0,35,PF,4,1000000.0,Paul Millsap,14,Denver Nuggets,,1002.0,715.0,29.1,5.2,10.7,49.1,0.5,1.4,34.6,3.0,4.1,73.6,2.2,5.1,7.3,2.3,1.0,1.3,3.1,1.8,14.0
Monte Morris,3059310,74.0,183.0,25,PG,11,1588231.0,Monte Morris,3,Denver Nuggets,,164.0,19.0,23.2,3.9,8.1,48.0,1.0,2.6,39.5,0.9,1.2,82.0,0.4,1.7,2.1,3.5,0.1,0.8,1.1,0.7,9.7
Jamal Murray,3936299,76.0,215.0,23,PG,27,27285000.0,Jamal Murray,4,Denver Nuggets,,302.0,227.0,29.3,5.8,13.1,44.0,1.9,5.1,35.9,2.3,2.7,87.5,0.8,2.8,3.6,3.7,0.3,0.9,1.9,1.9,15.7
Zeke Nnaji,4431690,83.0,240.0,19,PF,22,2284800.0,Zeke Nnaji,0,Denver Nuggets,,3.0,0.0,1.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
Malik Beasley,3907822,76.0,196.0,24,SG,5,13425895.0,Malik Beasley,4,Minnesota Timberwolves,,226.0,39.0,17.8,3.2,7.1,45.0,1.4,3.7,38.6,0.7,0.9,80.8,0.3,1.7,2.1,1.0,0.1,0.5,1.1,0.7,8.5
Jarrett Culver,4277928,78.0,200.0,21,SG,23,6104280.0,Jarrett Culver,1,Minnesota Timberwolves,,69.0,38.0,23.9,3.7,9.0,40.6,1.0,3.4,29.5,0.9,1.9,47.7,1.2,2.4,3.6,1.6,0.6,0.9,2.0,1.3,9.2
Ed Davis,4259,81.0,222.0,31,F,17,5005350.0,Ed Davis,10,Minnesota Timberwolves,,673.0,97.0,19.8,2.6,4.6,56.7,0.0,0.0,0.0,1.1,1.9,58.3,2.3,4.3,6.6,0.8,0.8,0.5,2.5,0.8,6.3
Anthony Edwards,4594268,77.0,229.0,19,SG,1,9757440.0,Anthony Edwards,0,Minnesota Timberwolves,L,6.0,0.0,25.0,5.3,12.5,42.7,1.8,5.8,31.4,1.2,1.7,70.0,0.7,1.3,2.0,2.2,0.3,0.7,1.8,1.3,13.7
Ashton Hagans,4395722,75.0,193.0,21,PG,22,0.0,Ashton Hagans,0,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,,,
Juancho Hernangomez,4017839,81.0,215.0,25,PF,41,6493000.0,Juancho Hernangomez,4,Minnesota Timberwolves,,211.0,52.0,16.1,1.8,4.2,42.2,0.8,2.3,35.2,0.8,1.2,71.8,0.8,2.6,3.4,0.7,0.2,0.4,1.2,0.5,5.2
Jake Layman,2982268,80.0,212.0,26,SF,10,3761085.0,Jake Layman,4,Minnesota Timberwolves,,170.0,40.0,13.7,2.0,4.5,45.4,0.6,2.0,30.4,0.6,0.8,73.5,0.5,1.4,1.9,0.6,0.3,0.4,1.2,0.5,5.3
Jaden McDaniels,4431671,81.0,192.0,20,PF,3,1964760.0,Jaden McDaniels,0,Minnesota Timberwolves,B,4.0,0.0,6.3,1.3,2.0,62.5,0.8,1.3,60.0,0.3,0.5,50.0,0.0,1.0,1.0,0.3,0.3,0.5,0.8,0.5,3.5
Jordan McLaughlin,3134916,71.0,185.0,24,PG,6,0.0,Jordan McLaughlin,1,Minnesota Timberwolves,,34.0,2.0,19.2,2.8,5.7,48.2,0.9,2.4,37.3,0.8,1.1,66.7,0.2,1.4,1.6,4.1,0.1,1.1,0.9,1.0,7.2
Jaylen Nowell,4278541,76.0,197.0,21,SG,4,1517981.0,Jaylen Nowell,1,Minnesota Timberwolves,,15.0,0.0,10.1,1.3,3.5,35.8,0.2,1.7,11.5,1.1,1.1,94.1,0.2,0.7,0.9,1.3,0.1,0.2,0.7,0.2,3.8
Josh Okogie,4065663,76.0,220.0,22,G,20,2651040.0,Josh Okogie,2,Minnesota Timberwolves,,139.0,83.0,24.3,2.7,6.7,40.6,0.7,2.7,27.2,2.0,2.6,76.7,0.9,2.6,3.6,1.4,0.4,1.1,2.2,1.1,8.1
Naz Reid,4396971,81.0,250.0,21,C,11,1517981.0,Naz Reid,1,Minnesota Timberwolves,,36.0,14.0,17.4,3.5,8.2,43.2,1.0,3.1,33.0,1.3,1.8,69.7,1.1,3.0,4.1,1.3,0.8,0.6,2.8,0.8,9.4
Ricky Rubio,4011,75.0,199.0,30,PG,9,17000000.0,Ricky Rubio,9,Minnesota Timberwolves,,569.0,545.0,30.8,3.7,9.3,39.2,0.9,2.7,32.7,3.1,3.7,84.1,0.7,3.6,4.2,7.8,0.1,1.9,2.6,2.7,11.3
Jarred Vanderbilt,4278077,80.0,214.0,21,PF,8,1663361.0,Jarred Vanderbilt,2,Minnesota Timberwolves,,32.0,0.0,5.0,0.7,1.2,55.3,0.0,0.1,0.0,0.3,0.6,57.9,0.5,1.0,1.5,0.4,0.1,0.4,0.5,0.6,1.7
Trevor Ariza,2426,80.0,215.0,35,SF,8,12800000.0,Trevor Ariza,16,Oklahoma City Thunder,,1064.0,731.0,29.7,3.8,8.9,42.3,1.4,4.1,35.2,1.6,2.2,73.2,1.0,3.8,4.8,2.2,0.3,1.5,2.0,1.4,10.5
Darius Bazley,4423545,80.0,208.0,20,SF,7,2339160.0,Darius Bazley,1,Oklahoma City Thunder,,66.0,14.0,19.5,2.2,5.6,40.1,0.8,2.4,33.5,0.8,1.1,71.4,0.5,3.9,4.4,0.7,0.7,0.4,0.9,0.8,6.0
Moses Brown,4397126,85.0,245.0,21,C,9,0.0,Moses Brown,1,Oklahoma City Thunder,,10.0,0.0,3.6,0.4,1.1,36.4,0.0,0.0,0.0,0.3,1.0,30.0,0.3,1.3,1.6,0.1,0.2,0.1,0.7,0.3,1.1
Hamidou Diallo,4080610,77.0,202.0,22,SG,6,1416852.0,Hamidou Diallo,2,Oklahoma City Thunder,,102.0,6.0,14.9,2.2,4.9,45.0,0.2,0.8,24.7,0.8,1.3,60.2,0.9,2.0,2.9,0.6,0.2,0.6,1.9,0.8,5.4
Luguentz Dort,4397020,76.0,215.0,21,SG,5,1517981.0,Luguentz Dort,1,Oklahoma City Thunder,,41.0,33.0,23.5,2.7,6.6,41.1,1.0,3.1,32.8,1.3,1.6,79.1,0.7,1.7,2.4,0.8,0.1,0.9,2.8,0.7,7.7
Josh Hall,4433157,80.0,200.0,20,SF,15,0.0,Josh Hall,0,Oklahoma City Thunder,,2.0,0.0,5.5,0.5,3.0,16.7,0.5,2.0,25.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.5,0.0,1.5
George Hill,3438,75.0,187.0,34,PG,3,9590602.0,George Hill,12,Oklahoma City Thunder,B,789.0,453.0,27.7,3.9,8.6,45.7,1.2,3.2,38.5,2.0,2.5,80.3,0.6,2.5,3.1,3.2,0.3,0.9,2.0,1.3,11.1
